63,31
11,48
5,100
53,80
74,78
52,31
27,36
82,79
71,11
78,88
64,58
38,64
88,88
58,30
90,10
77,71
35,58
3,87
96,17
12,61
14,53
88,37
43,53
61,60
80,11
42,74
53,31
34,63
38,59
84,2
74,44
6,10
89,27
91,46
80,93
15,42
73,18
17,95
10,42
54,53
3,13
24,23
63,11
54,98
8,34
42,60
61,20
4,16
98,99
66,3
33,94
66,59
68,40
66,100
8,78
63,28
38,63
92,74
84,29
55,12
27,34
68,49
79,43
27,41
11,66
68,53
40,21
19,21
79,35
40,80
23,91
25,36
100,100
5,41
66,27
47,72
35,8
38,74
18,88
66,70
26,5
73,73
69,62
49,19
19,33
100,5
11,84
74,44
13,72
20,93
81,65
73,75
1,18
15,99
45,27
95,28
36,79
8,61
74,49
63,10
