93,28
69,76
83,90
15,74
41,66
39,40
67,15
21,31
39,69
13,46
63,12
59,68
83,23
90,32
42,77
95,72
63,80
15,13
57,34
95,56
44,97
8,41
53,100
45,79
47,50
21,25
40,80
99,32
70,60
7,54
17,80
71,22
36,2
90,78
20,31
29,46
93,51
3,96
79,52
31,34
33,43
29,28
65,66
88,48
35,55
53,57
62,96
80,87
38,47
3,91
64,35
69,37
51,23
76,80
96,19
82,19
40,55
1,90
74,64
83,53
68,68
54,61
33,23
30,83
26,7
35,64
51,30
6,43
88,41
72,53
49,77
87,20
57,86
30,3
28,59
20,64
79,7
3,51
94,20
31,14
15,13
10,21
45,2
51,19
72,1
12,22
20,97
59,6
58,24
64,31
14,71
18,52
28,17
22,17
63,24
1,13
14,61
96,4
73,94
75,91
